1	0.25	3.0	2.25	4	
2	0.25	2.75	2.0	4	
3	0.25	2.5	1.75	4	
4	0.25	2.25	1.5	3	
5	0.25	2.75	2.0	4	
6	0.25	2.5	1.75	4	
7	0.25	2.25	1.5	4	
8	0.25	2.0	1.25	3	
9	0.25	2.5	1.75	4	
10	0.25	2.25	1.5	4	
11	0.25	2.75	2.0	5	
12	0.25	1.75	1.0	3	
13	0.25	2.25	1.5	4	
14	0.25	2.0	1.25	4	
15	0.25	1.75	1.0	4	
16	0.25	1.5	0.75	2	
17	0.25	2.75	2.0	4	
18	0.25	2.5	1.75	4	
19	0.25	2.25	1.5	4	
20	0.25	2.0	1.25	3	
21	0.25	2.5	1.75	4	
22	0.25	2.25	1.5	4	
23	0.25	2.75	2.0	5	
24	0.25	1.75	1.0	3	
25	0.25	2.25	1.5	4	
26	0.25	2.0	1.25	4	
27	0.25	1.75	1.0	4	
28	0.25	1.5	0.75	3	
29	0.25	2.5	1.75	5	
30	0.25	2.5	1.75	5	
31	0.25	2.25	1.5	5	
32	0.25	1.25	0.5	2	
33	0.25	2.5	1.75	4	
34	0.25	2.25	1.5	4	
35	0.25	2.75	2.0	5	
36	0.25	1.75	1.0	3	
37	0.25	2.25	1.5	4	
38	0.25	2.0	1.25	4	
39	0.25	1.75	1.0	4	
40	0.25	1.5	0.75	3	
41	0.25	2.75	2.0	5	
42	0.25	2.0	1.25	4	
43	0.25	2.5	1.75	5	
44	0.25	1.75	1.0	4	
45	0.25	2.25	1.5	5	
46	0.25	1.5	0.75	4	
47	0.25	2.0	1.25	5	
48	0.25	1.0	0.25	2	
49	0.25	2.25	1.5	4	
50	0.25	2.0	1.25	4	
51	0.25	1.75	1.0	4	
52	0.25	1.5	0.75	3	
53	0.5	2.75	2.25	5	
54	0.5	2.5	2.0	5	
55	0.5	2.25	1.75	5	
56	0.25	1.25	0.5	3	
57	0.5	2.5	2.0	5	
58	0.5	2.25	1.75	5	
59	0.5	2.75	2.25	6	
60	0.25	1.0	0.25	3	
61	0.25	1.5	0.75	4	
62	0.25	1.25	0.5	4	
