1	1	1	8	7	8
2	2	1	7	6	7
3	3	1	7	6	8
4	4	1	6	5	6
5	5	1	7	6	8
6	6	1	6	5	7
7	7	1	7	6	9
8	8	1	5	4	5
9	9	1	7	6	8
10	10	1	6	5	7
11	11	1	6	5	8
12	12	1	5	4	6
13	13	1	7	6	9
14	14	1	6	5	8
15	15	1	6	5	9
16	16	1	4	3	4
17	17	1	7	6	8
18	18	1	6	5	7
19	19	1	6	5	8
20	20	1	5	4	6
21	21	1	6	5	8
22	22	1	5	4	7
23	23	1	7	6	10
24	24	1	4	3	5
25	25	1	7	6	9
26	26	1	6	5	8
27	27	1	6	5	9
28	28	1	5	4	7
29	29	1	6	5	9
30	30	1	5	4	8
31	31	1	7	6	11
32	32	1	3	2	3
33	33	1	7	6	8
34	34	1	6	5	7
35	35	1	6	5	8
36	36	1	5	4	6
37	37	1	6	5	8
38	38	1	5	4	7
39	39	1	6	5	9
40	40	1	4	3	5
41	41	1	6	5	8
42	42	1	5	4	7
43	43	1	5	4	8
44	44	1	4	3	6
45	45	1	7	6	10
46	46	1	6	5	9
47	47	1	6	5	10
48	48	1	3	2	4
49	49	1	7	6	9
50	50	1	6	5	8
51	51	1	6	5	9
52	52	1	5	4	7
53	53	1	6	5	9
54	54	1	5	4	8
55	55	1	6	5	10
56	56	1	4	3	6
57	57	1	6	5	9
58	58	1	5	4	8
59	59	1	5	4	9
60	60	1	4	3	7
61	61	2	7	7	11
62	62	2	6	6	10
63	63	2	6	6	11
64	64	1	2	1	2
65	65	1	7	6	8
66	66	1	6	5	7
67	67	1	6	5	8
68	68	1	5	4	6
69	69	1	6	5	8
70	70	1	5	4	7
71	71	1	6	5	9
72	72	1	4	3	5
73	73	1	6	5	8
74	74	1	5	4	7
75	75	1	5	4	8
76	76	1	4	3	6
77	77	1	6	5	9
78	78	1	5	4	8
79	79	1	5	4	9
80	80	1	3	2	4
81	81	1	6	5	8
82	82	1	5	4	7
83	83	1	5	4	8
84	84	1	4	3	6
85	85	1	5	4	8
86	86	1	4	3	7
87	87	2	7	7	11
88	88	1	3	2	5
89	89	2	7	7	10
90	90	2	6	6	9
91	91	2	6	6	10
92	92	2	5	5	8
93	93	2	6	6	10
94	94	2	5	5	9
95	95	2	6	6	11
96	96	1	2	1	3
97	97	2	7	7	9
98	98	2	6	6	8
99	99	2	6	6	9
100	100	2	5	5	7
101	101	2	6	6	9
102	102	2	5	5	8
103	103	2	6	6	10
104	104	2	4	4	6
105	105	2	6	6	9
106	106	2	5	5	8
107	107	2	5	5	9
108	108	2	4	4	7
109	109	2	6	6	10
110	110	2	5	5	9
111	111	2	5	5	10
112	112	2	3	3	5
113	113	2	6	6	9
114	114	2	5	5	8
115	115	2	5	5	9
116	116	2	4	4	7
117	117	2	5	5	9
118	118	2	4	4	8
119	119	3	6	7	11
120	120	2	3	3	6
121	121	3	6	7	10
122	122	3	5	6	9
123	123	3	5	6	10
124	124	3	4	5	8
125	125	3	5	6	10
126	126	3	4	5	9
127	127	4	5	7	11
128	128	1	1	0	1
129	129	2	7	7	8
130	130	2	6	6	7
131	131	2	6	6	8
132	132	2	5	5	6
133	133	2	6	6	8
134	134	2	5	5	7
135	135	2	6	6	9
136	136	2	4	4	5
137	137	2	6	6	8
138	138	2	5	5	7
139	139	2	5	5	8
140	140	2	4	4	6
141	141	2	6	6	9
142	142	2	5	5	8
143	143	2	5	5	9
144	144	2	3	3	4
145	145	2	6	6	8
146	146	2	5	5	7
147	147	2	5	5	8
148	148	2	4	4	6
149	149	2	5	5	8
150	150	2	4	4	7
151	151	2	6	6	10
152	152	2	3	3	5
153	153	2	6	6	9
154	154	2	5	5	8
155	155	2	5	5	9
156	156	2	4	4	7
157	157	2	5	5	9
158	158	2	4	4	8
159	159	3	6	7	11
160	160	2	2	2	3
161	161	2	6	6	8
162	162	2	5	5	7
163	163	2	5	5	8
164	164	2	4	4	6
165	165	2	5	5	8
166	166	2	4	4	7
167	167	2	5	5	9
168	168	2	3	3	5
169	169	2	5	5	8
170	170	2	4	4	7
171	171	2	4	4	8
172	172	2	3	3	6
173	173	3	6	7	10
174	174	3	5	6	9
175	175	3	5	6	10
176	176	2	2	2	4
177	177	3	6	7	9
178	178	3	5	6	8
179	179	3	5	6	9
180	180	3	4	5	7
181	181	3	5	6	9
182	182	3	4	5	8
183	183	3	5	6	10
184	184	3	3	4	6
185	185	3	5	6	9
186	186	3	4	5	8
187	187	3	4	5	9
188	188	3	3	4	7
189	189	4	5	7	10
190	190	4	4	6	9
191	191	4	4	6	10
192	192	2	1	1	2
193	193	3	6	7	8
194	194	3	5	6	7
195	195	3	5	6	8
196	196	3	4	5	6
197	197	3	5	6	8
198	198	3	4	5	7
199	199	3	5	6	9
200	200	3	3	4	5
201	201	3	5	6	8
202	202	3	4	5	7
203	203	3	4	5	8
204	204	3	3	4	6
205	205	3	5	6	9
206	206	3	4	5	8
207	207	3	4	5	9
208	208	3	2	3	4
209	209	3	5	6	8
210	210	3	4	5	7
211	211	3	4	5	8
212	212	3	3	4	6
213	213	3	4	5	8
214	214	3	3	4	7
215	215	4	5	7	10
216	216	3	2	3	5
217	217	4	5	7	9
218	218	4	4	6	8
219	219	4	4	6	9
220	220	4	3	5	7
221	221	4	4	6	9
222	222	4	3	5	8
223	223	5	4	7	10
224	224	3	1	2	3
225	225	4	5	7	8
226	226	4	4	6	7
227	227	4	4	6	8
228	228	4	3	5	6
229	229	4	4	6	8
230	230	4	3	5	7
231	231	4	4	6	9
232	232	4	2	4	5
233	233	4	4	6	8
234	234	4	3	5	7
235	235	4	3	5	8
236	236	4	2	4	6
237	237	5	4	7	9
238	238	5	3	6	8
239	239	5	3	6	9
240	240	4	1	3	4
241	241	5	4	7	8
242	242	5	3	6	7
243	243	5	3	6	8
244	244	5	2	5	6
245	245	5	3	6	8
246	246	5	2	5	7
247	247	6	3	7	9
248	248	5	1	4	5
249	249	6	3	7	8
250	250	6	2	6	7
251	251	6	2	6	8
252	252	6	1	5	6
253	253	7	2	7	8
254	254	7	1	6	7
255	255	8	1	7	8
